"tab_code","表章項目","cat01_code","データの種別","cat02_code","銘柄","area_code","地域","time_code","時間軸（月）","unit","value","annotation","time"
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000707","2006年7月","円",675,NA,2006-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000606","2006年6月","円",694,NA,2006-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000505","2006年5月","円",645,NA,2006-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000404","2006年4月","円",647,NA,2006-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000303","2006年3月","円",630,NA,2006-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000202","2006年2月","円",712,NA,2006-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000101","2006年1月","円",685,NA,2006-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005001212","2005年12月","円",647,NA,2005-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005001111","2005年11月","円",687,NA,2005-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005001010","2005年10月","円",698,NA,2005-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005000909","2005年9月","円",675,NA,2005-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005000808","2005年8月","円",797,NA,2005-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005000707","2005年7月","円",634,NA,2005-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005000606","2005年6月","円",687,NA,2005-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005000505","2005年5月","円",784,NA,2005-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2005000404","2005年4月","円",772,NA,2005-04-01
